puerta +puerta+puerta	puerta+puerta+puerta
yo leer gustar	yo leer gustar
abuelo nuestro	abuelo nuestro
mamá tuya médico	mamá tuya médico
ustedes tímidos así	ustedes tímidos así
tú hamburguesa papas comer	tú hamburguesa papas comer
ayer primo mío escuela ir	ayer escuela primo mío ir
nosotros oyentes	nosotros oyentes
ella caminar gustar	el caminar gustar
siempre el contento	siempre él contento
ellas amables	ellas amables
él auto comprar no querer	él auto comprar no querer
novio mujer tuya oyente	novio mujer tuya oyente
parque ahí niño jugar	parque ahí niño jugar
si, yo sordo	si, yo sordo
niño ellos apenados	niño ellos apenados
abuelo tuyo desesperado así	abuelo tuyo desesperado
niño ellos masomenos	niño ellos masomenos
mamá mía masomenos	mamá mía masomenos
nosotros apenados	nosotros apenados
buenos días, ¿cómo estar tú?	buenos días, ¿cómo estar tú?
maestro mujer gorda	maestro mujer gorda
México hermano mío vivir	México hermano mío vivir
amigo nuestro confundido	amigo nuestro confundido
cafetería ahí abuelo mío galleta comer	cafetería ahí abuelo mío una galleta comer
hola mamá. Buenas tardes	hola mamá. Buenas tardes
yo entender	entender
váyanse	ustedes ir
tú empujes por favor no	tú empujar no por favor
¿papá tuyo vivir dónde?	¿papá tuyo vivir dónde?
ellos limonada beber	ellos limonada beber
México tío mío vivir	México tío mío vivir
ustedes español entender	ustedes español entender
pista ahí abuelo mío correr	pista ahí abuelo correr
gato café tranquilo	gato café parece tranquilo
ustedes bien	ustedes bien
nosotros estudiantes	nosotros estudiantes
él (ella) llorar querer	él (ella) llorar querer
nosotros cerveza beber	nosotros cerveza beber
¿ayer tú estudiar?	¿ayer tú estudiar?
pasado ustedes ir	pasado ellos ir
perro cl+cl+cl míos asustados	perro cl+cl+cl míos asustados
¿próximo supermercado dónde?	¿supermercado dónde?
desayuno caliente	desayuno caliente
nosotros comer querer	nosotros comer querer
abuelo mujer mía pastel chocolate comer	abuelo mujer mía pastel chocolate comer
tú caminar gustar no	tú caminar gustar no
gato cl+cl+cl tuyos	gato cl+cl+cl tuyos
ustedes hotdog comer	ustedes hotdog comer
¿pasado mamá tuya ir dónde?	¿pasado mamá tuya ir dónde?
ellos miedosos así	ellos miedosos así
¿martes tú hacer qué?	¿pasado martes tú hacer qué?
tío mío artista	tío mío artista
ventana pocas	ventana pocas
cafetería ahí novio mujer tuya hamburguesa papas comer	cafetería ahí novio mujer tuya hamburguesa papas comer
tenis míos negros	tenis míos negros
si, ellas sordas	si, ellas sordas
foco muchos	foco muchos
ayer novio mío revista leer	ayer novio mío revista leer
cielo azul	cielo azul
hermano mujer tuya arquitecta	hermano mujer tuya arquitecta
parque ahí muchos gatos jugar	parque ahí muchos gatos jugar
plato ahí peras seis haber	plato ahí peras seis haber
nosotros pasear gustar no	nosotros pasear gustar no
¿pasado jueves tú hacer qué?	¿pasado jueves tú hacer qué?
primo mujer mía estudiante	primo mujer mía estudiante
amigo mío masomenos	amigo mío masomenos
hombre algunos	hombre algunos
abuelo mío manzana comer	abuelo mío manzana comer
nosotros entender no	nosotros entender no
ayer papá mío revista leer	ayer papá mío revista leer
nosotros perro adoptar no querer	nosotros perro adoptar no querer
tío tuyo cereal comer	tío tuyo cereal comer
amigo tuyo miedoso así	amigo tuyo miedoso así
papá mío enojado	papá mío enojado
hermano mío lsm aprender querer	hermano mío lsm aprender querer
parque ahí mucha gente granizando	parque ahí granizar
mamá mía lavadora usar	mamá mía lavadora usar
plato ahí peras cinco haber	plato ahí peras cinco haber
hijo mujer	hijo mujer
