esp,lsm,,,
yo voy,yo ir,,,
ve,tú ver,,,
vete,tú ir,,,
ve,tú ir,,,
vas,tú ir,,,
va,él ir,,,
vaya,él ir,,,
vaya,ella ir,,,
váyanse,ustedes ir,,,
vamos,nosotros ir,,,
vámonos,nosotros ir,,,
van,ustedes ir,,,
van,ellos ir,,,
fuiste,pasado tú ir,,,
fuiste,pasado tú ser,,,
fue,pasado él ir,,,
fue,pasado él ser,,,
fueron,pasado ellos ir,,,
fueron,pasado ellos ser,,,
fueron,pasado ustedes ir,,,
fueron,pasado ustedes ser,,,
ir,ir,,,
irse,ir,,,
iré,futuro yo ir,,,
irá,futuro él ir,,,
irás,futuro tú ir,,,
irán,futuro ellos ir,,,
irán,futuro ustedes ir,,,
soy,yo ser,,,
eres,tú ser,,,
es,eso ser,,,
es,él ser,,,
es,ella ser,,,
son,ellos ser,,,
son,ustedes ser,,,
hola,hola,,,
¡Ayuda!,Ayuda,,,
Ayuda,Ayuda,,,
Corren,ellos correr,,,
corre,eso correr,,,
corre,él correr,,,
yo,yo,,,
él,él,,,
ella,ella,,,
tú,tú,,,
tu,tuyo,,,
tu,tuya,,,
nosotros,nosotros,,,
ustedes,ustedes,,,
mi,mío,,,
su,suyo,,,
su,suya,,,
nuestro primo es albañil,primo nuestro albañil,,,
su papá es bombero,papá suyo bombero,,,
su mamá es maestra,mamá suya maestra,,,
tu hermana es veterinaria,hermano mujer tuya veterinaria,,,
tu hermano es médico,hermano tuyo médico,,,
tu prima es dentista,primo mujer tuya dentista,,,
tu abuelo era soldado,abuelo tuyo soldado,,,
su abuela era monja,abuelo mujer suyo(a) monja,,,
nuestro,nuestro,,,
ellos,ellos,,,
eso,eso,,,
leímos un libro ayer ,ayer nosotros libro leer,,,
leí un libro ayer,ayer yo libro leer,,,
leíste un libro ayer,ayer tú libro leer,,,
leyó un libro ayer,ayer él (ella) libro leer,,,
leyeron un libro ayer,ayer ellos (as) libro leer,,,
mi mamá estaba leyendo un libro ayer,ayer mamá mía libro leer,,,
