mujer más arrepiente	mujer ella arrepentir
ayer el morir	ayer ella morir
papá mío mal	papá mío mal
próxima semana amigo mío universidad ir	próxima semana amigo mío universidad ir
amigo tuyo distraído	amigo tuyo distraído
¿abuelo mujer tuya oyente?	¿abuelo mujer tuya oyente?
si, tío mujer mía sorda	si, tío mujer mía sorda
abuelo mío descansar querer	abuelo mío descansar querer
siempre contento	siempre él contento
maestro mujer ella quejar	maestro mujer ella quejar
plato ahí peras cuatro haber	plato ahí peras cuatro haber
¿jueves tú hacer qué?	¿futuro jueves tú hacer qué?
el sonreír gustar no	el sonreír gustar no
abuelo mujer mía chocolate gustar	abuelo mujer mía chocolate gustar
futuro amigo mujer mía centro ir	futuro amigo mujer mía centro ir
tío mujer mía enojada	tío mujer mía enojada
él triste	él triste
ayer ellos (as) (ustedes) escuela	ayer yo despedido
nosotros abrazo querer	nosotros abrazo querer
ellos están locos	ellos locos
¿abuelo tuyo oyente?	¿abuelo tuyo oyente?
nosotros café gustar no	nosotros café gustar
yo médico	yo médico
yo mamá mía querer	yo mamá mía ella querer
ella peinar	ella peinar
hermano ellos	hermano ellos
tú descansar querer	tú descansar querer
tío tuyo distraído así	tío tuyo distraído así
mañana biblioteca ahí hermano mujer ellas estudiar	mañana biblioteca ahí hermano mujer mía estudiar
tú comer helado gustar no	tú comer helado gustar no
agua azul	agua azul
¿podemos platicar?	¿(nosotros) platicar poder?
perro suyo	perro suyo
hermano mujer tuya chocolate gustar no	hermano mujer tuya chocolate gustar no
niño mujer ellas felices	niño mujer ellas felices
papá tuyo ingeniero	papá tuyo ingeniero
amigo mío apenado	amigo mío apenado
amigo ellos tuyos chistes graciosos contar	sobrino mujer ellas suyas
nosotros trabajar querer	nosotros trabajar querer
él agradable	él agradable
mamá enojona así	mamá mía enojona así
mamá mía oyente	mamá mía oyente
abuelo mío	abuelo mío
biblioteca ahí primo mío estudiar	biblioteca ahí primo estudiar
niño ellos nadar	niño ellos libro leer
yo pizza	yo pizza comer
niño ellos apenados	niño ellos apenados
ellos agradables	ellos agradables
hombre ellos	hombre ellos
gato cl+cl+cl tuyos	gato cl+cl+cl tuyos
ventana pocas	ventana pocas
niño ellos parecen felices	niño ellos parecen felices
todos los días ellos (as) (ustedes) inglés estudiar	todos los días ellos (as) (ustedes) inglés estudiar
no, papá mío oyente	no, papá mío oyente
tío mío lsm entender	tío mío lsm entender
amigo mío desesperado así	amigo mío desesperado así
ustedes chocolate gustar no	ellos chocolate gustar no
hermano tuyo profesor	hermano tuyo profesor
tío tuyo médico	tío tuyo médico
mujer ellas tristes	mujer ellas tristes
biblioteca ahí amigo mío estudiar	biblioteca ahí amigo mío estudiar
cuñado mío cuñado suya	cuñado mío guitarra suya
próxima semana abuelo mujer mía iglesia ir	próxima semana abuelo mujer mía iglesia ir
ellos reír gustar no	ellos reír gustar no
yo platicar gustar no	yo platicar gustar no
¿tío tuyo sordo?	¿tío tuyo sordo?
ayer primo mío periódico leer	ayer primo mío periódico leer
ella dormir querer	ella dormir querer
todos los días él inglés estudiar	todos los días él inglés estudiar
futuro abuelo mío iglesia ir	futuro abuelo mío iglesia ir
biblioteca ahí él estudiar	biblioteca ahí él estudiar
tío mío alegre así	tío mío alegre así
tias mujer ellas mías	tío mujer plura mío
él amable	él amable
calor mucho	calor mucho
yo masomenos	masomenos
ellos español entender	ellos español entender
¿tú oyente?	¿tú oyente?
yo español entender no	yo español entender no
ella reír gustar	el reír gustar
ellas manzana comer	ellas manzana comer
tío mío café gustar	tío mío café gustar
ellos comer helado gustar no	ellos comer helado gustar no
tú distraído	tú distraído
amigo mujer mía bien	amigo mujer mía bien
niño ellos distraídos	niño ellos distraídos
abuelo tuyo apenado	abuelo tuyo apenado
mamá mía lsm aprender querer	mamá mía lsm aprender querer
ayer mamá mía hospital ir	ayer mamá mía hospital ir
pelota negra	pelota negra
hijo mujer mía loca	hijo mujer mía loca
abuelo nuestro	abuelo nuestro
día fresco	hoy día fresco
mamá mía loca	mamá mía loca
ellos (as) /ustedes auto comprar no querer	ellos (as) /ustedes auto comprar no querer
México novio mujer tuya vivir	México novio mujer tuya vivir
ella ingeniera	ella ingeniera
ayer primo tuyo periódico leer	ayer primo tuyo periódico leer
amigo mujer mía artista	amigo mujer mía artista
yo leche tomar no	yo leche poder no tomar
problema haber	problema haber
tú sordo	tú sordo
amigo mío tímido así	amigo mío tímido así
maestro suyo	maestro suyo
ella aprender gustar	él aprender gustar
novio tuyo miedoso así	novio tuyo miedoso así
clima cálido	clima cálido
él ocupado	él ocupado
él tranquilo	él tranquilo
tío mujer mía amable	tía mía amable
tío mujer suya	tío mujer suyo
amigo ellos serios	amigo ellos míos serios
semana pasada ella viaje ir	semana pasada ella viajar
amigo mío miedoso así	amigo mío miedoso así
ayer primo mujer mía revista leer	ayer primo mujer mía revista leer
tío mío descansar querer	tío mío descansar querer
ustedes abrazo no querer	ustedes abrazo no querer
lunes a viernes abuelo trabajar	lunes a viernes abuelo mío trabajar
semana pasada hermano mujer suya ir	semana pasada hermana suya ella, yo ver
ellos caminar gustar no	ellos caminar gustar no
mamá tuya profesora	mamá tuya profesora
sobrino nuestro	sobrino nuestro
ellas abrazo no querer	ellas abrazo no querer
futuro amigo mujer mía supermercado ir	futuro amigo mujer mía supermercado ir
